user_id,product_id,transaction_type
94,16720,4
94,9198,1
100,13216,3
100,13257,3
100,13146,1
100,13304,1
100,13212,2
100,13315,1
100,13331,2
100,13333,4
100,13334,2
100,13142,2
100,13193,1
100,13200,3
100,13201,3
100,13719,3
100,14029,2
100,11281,4
100,11282,1
100,13611,1
100,13982,4
100,13447,3
100,13649,2
100,14212,1
100,13484,2
100,13554,2
100,13555,1
100,14100,2
100,17632,2
100,13762,3
100,14715,4
100,14716,1
100,14795,3
100,17731,1
100,14382,4
100,12685,1
100,17223,3
100,11109,2
100,11110,2
100,11111,3
100,11225,4
100,11223,3
100,11221,2
100,9353,2
100,9354,1
100,9404,1
100,9416,1
100,9407,1
100,9223,3
100,17759,2
100,17756,4
60,17761,1
60,17760,4
60,9168,4
60,9170,3
60,14649,3
60,13719,3
60,13828,4
105,9138,1
105,9140,2
105,9143,2
105,17227,4
105,14408,1
105,13737,1
105,11100,2
105,11182,2
105,11183,3
105,14724,3
105,14264,3
105,14265,4
105,17634,2
105,14137,3
105,12868,2
105,13361,4
125,17441,3
125,17426,3
125,13541,3
125,13721,2
125,13742,2
125,13743,3
125,13754,4
125,13752,2
125,13756,4
125,13849,1
125,13881,3
125,13902,4
125,13904,3
125,13840,2
125,17627,2
125,13523,1
125,13804,4
125,13981,2
125,13995,4
125,14083,1
125,12948,2
125,13616,1
125,13818,4
125,17632,2
125,13778,4
125,13779,3
125,14096,3
125,13463,1
125,14030,3
125,14104,3
125,14105,1
125,13196,4
125,13232,4
125,13236,1
125,14111,3
125,14854,1
125,14856,1
125,14857,1
125,14861,1
55,14226,1
55,14437,2
55,15133,3
55,12672,1
55,9393,1
55,13258,2
55,16366,2
125,17778,4
125,17787,2
125,17795,3
8,14227,3
102,14193,3
102,14329,4
102,14330,4
102,14354,4
102,14356,1
102,14377,2
102,14349,3
102,14371,2
102,17521,2
102,17455,4
102,17479,4
102,10176,1
102,10177,4
102,10167,2
102,10157,4
102,10023,1
102,16690,1
102,16692,2
102,16694,1
102,16697,4
102,16698,1
102,16699,4
102,16700,4
94,9198,2
94,15154,2
94,15161,3
94,10078,4
94,14668,2
94,14684,2
94,14776,4
94,14777,1
94,14779,3
94,14780,2
94,14783,3
94,14795,4
94,14796,1
94,14797,2
94,14798,4
94,14833,2
94,14838,2
94,14839,3
94,14846,1
94,14832,2
94,11183,2
94,11182,2
94,13047,2
94,12598,3
94,12596,2
84,13448,3
84,13541,4
84,13758,4
84,14007,2
84,14045,3
84,14092,4
84,13844,1
84,13539,3
84,13619,4
84,13987,2
84,13986,1
84,13984,3
84,17239,2
84,17521,1
84,17740,4
84,17739,3
84,17738,3
84,9346,2
84,17759,1
84,9575,4
84,14004,2
84,11083,3
8,14224,2
8,13261,4
137,9362,3
137,13555,3
137,12616,2
137,13259,1
85,17481,3
84,13802,3
149,17479,4
149,17521,4
149,17455,2
149,9118,1
149,9408,1
85,17521,1
119,11096,2
119,9346,4
119,9344,2
119,11097,2
119,13729,2
119,13982,1
119,13694,3
119,14015,1
119,17770,2
119,12672,3
119,12513,2
119,9396,3
119,9397,4
119,17471,4
119,17431,4
119,17426,3
119,17473,1
48,13195,4
48,15250,1
48,14883,3
48,14584,3
48,14646,1
48,14543,3
48,14550,3
48,14562,3
48,11000,3
158,11151,3
158,11130,3
158,11177,3
158,14224,4
158,14233,1
158,14232,1
129,13302,4
129,13304,1
129,13303,4
129,13258,3
129,17493,4
129,13398,3
129,13475,2
129,13574,3
129,13575,3
129,13657,1
129,13677,1
129,13678,1
129,13679,1
129,13697,4
129,13728,1
129,13765,1
129,13576,3
129,13612,4
129,14108,1
129,13443,3
129,13537,1
129,17630,1
129,16720,1
129,16721,4
129,16722,3
129,16723,3
129,16435,4
129,16293,2
129,16294,1
8,9457,3
8,9466,2
146,14647,1
146,14238,3
146,16526,3
146,14592,1
146,14563,3
146,14634,3
146,17352,2
60,15263,4
60,14015,2
60,14012,1
60,14013,3
60,14118,2
184,11166,2
184,17544,4
184,14636,3
184,14644,2
63,9344,3
63,14898,1
63,12651,3
55,12641,2
55,13142,3
55,17618,2
55,17817,2
55,14984,2
55,13790,4
55,15250,1
55,17816,4
55,17539,4
55,14477,3
55,13548,2
55,14053,1
143,9344,3
143,9346,2
143,13897,3
143,13849,1
143,13899,1
143,13906,1
143,13716,3
143,13912,1
143,17479,3
63,11108,2
55,13267,3
55,14565,4
163,10610,2
163,10995,3
163,14644,3
163,11110,3
163,9175,2
163,9174,2
163,9178,2
163,9409,2
163,14575,4
157,9420,3
157,9421,2
157,9407,4
157,9365,1
157,17749,3
157,9188,1
60,9166,1
60,15988,1
24,14563,3
24,14705,4
24,13215,1
24,13261,3
24,14567,4
24,9188,1
24,9196,1
24,14222,1
24,14220,2
24,13984,4
24,13985,3
24,17724,1
24,13142,2
24,17719,4
24,9344,1
105,14889,1
105,13791,3
105,14312,1
105,9445,4
105,13807,2
105,9612,4
105,9140,3
105,14122,2
105,12598,4
105,14354,2
105,14329,3
105,14238,2
105,14237,3
105,14314,2
105,14540,4
105,14565,1
105,14649,1
105,14556,4
105,14584,1
105,14567,3
105,13259,2
105,17447,2
105,13997,1
105,14701,4
105,15966,3
129,10228,1
129,10259,1
129,10267,3
129,10284,2
129,10260,2
129,10261,3
129,9929,3
129,9930,3
129,9978,1
129,9787,3
129,10021,4
129,10022,3
129,10023,4
129,10024,3
129,9985,1
129,9420,3
129,9401,1
129,9346,2
129,9344,3
129,17744,1
129,17745,4
129,9152,3
129,9154,2
129,9153,4
129,9118,1
129,9115,2
129,9116,1
129,9124,2
129,17521,1
129,17457,3
129,14007,2
129,14013,3
129,14017,4
129,14019,1
129,14133,3
129,13738,1
129,13739,1
129,15250,3
129,13740,1
129,13750,2
129,13651,4
129,13983,1
129,13447,2
129,13962,4
129,13484,1
129,13608,1
129,13736,1
129,13762,4
129,14144,3
129,17455,1
129,17447,2
129,17431,4
129,16742,4
129,16301,2
129,16448,4
100,14031,3
100,13728,2
100,13968,3
100,14042,1
100,14052,1
100,14102,4
100,14171,1
100,14018,1
100,13980,2
100,13990,2
100,13991,3
100,13290,4
100,13250,4
100,10341,3
100,13149,3
100,12834,3
100,12826,1
100,14220,2
100,14238,3
100,14338,3
100,14339,2
100,14401,4
100,17632,1
100,14795,1
100,11151,1
100,9419,1
100,17737,3
100,17740,2
100,9397,2
100,9396,2
100,9399,4
100,9356,3
100,9358,4
100,9353,2
100,17759,3
100,9083,3
100,9084,2
100,9085,3
100,9087,2
100,17523,4
124,15232,1
124,15152,1
124,14634,3
124,14567,2
124,14647,2
124,14649,2
124,17450,2
124,12623,1
124,12627,3
124,12625,2
124,12649,1
124,13429,2
124,12855,3
124,15261,1
124,9219,2
124,9222,1
124,9303,4
124,9200,1
124,15151,3
124,17719,3
124,15249,2
124,12664,2
124,12687,2
124,17838,4
55,14097,4
55,14147,3
55,14103,4
55,14563,1
55,14565,2
55,14237,4
55,13741,4
55,13258,2
125,12692,2
125,12693,1
125,12694,3
125,12695,3
125,12683,4
125,12684,4
125,12685,2
125,12690,4
125,12691,1
125,12688,1
125,12689,1
125,12686,2
125,12687,2
125,13467,3
125,13499,1
125,13646,2
125,13725,4
125,13744,4
125,13752,4
125,13847,2
125,13765,3
125,14029,1
125,14144,2
125,11281,2
125,14016,4
125,11282,1
125,12599,3
125,13377,4
125,13399,4
125,13571,2
125,13572,4
125,13592,3
125,13595,2
125,13642,4
125,13656,4
125,13713,2
125,13748,2
125,13776,1
125,13903,3
125,13968,4
125,13955,1
125,14013,3
125,14014,4
125,14015,4
125,14019,4
125,14044,1
125,14049,1
125,14056,4
125,14118,4
125,14129,3
125,17624,3
125,13444,3
125,13585,3
125,13673,2
